0,67,11,10,22,66,74,71,48,21,43,8,35,6,23,3,105,61,47,59
77,0,76,116,87,45,13,12,49,91,33,48,17,71,85,102,71,55,42,23
15,83,0,23,46,75,42,79,91,14,80,14,73,7,34,20,127,80,73,77
18,46,30,0,36,50,73,104,43,43,49,13,130,20,14,25,97,49,59,88
36,59,56,17,0,87,60,71,42,53,32,30,53,25,24,36,49,36,33,29
47,34,67,109,49,0,61,13,51,58,27,55,20,37,103,68,66,67,68,47
109,19,76,69,63,33,0,20,110,136,34,81,28,76,66,97,45,18,41,9
50,25,73,99,61,10,30,0,40,103,26,68,38,71,83,55,60,30,47,17
32,98,90,63,24,99,112,103,0,73,38,39,61,56,57,83,41,47,9,87
24,51,22,43,40,46,59,83,81,0,81,36,112,32,45,16,115,51,46,56
71,23,82,55,26,56,31,34,48,66,0,37,64,49,42,75,27,7,57,14
9,97,29,24,28,28,93,36,45,37,56,0,97,14,31,13,63,51,54,71
61,38,34,65,110,10,65,23,127,93,66,70,0,38,79,91,41,48,74,51
6,65,19,38,23,33,74,26,61,25,72,6,78,0,19,12,112,48,84,42
20,72,35,6,11,68,80,95,55,37,45,16,94,31,0,21,52,37,63,66
3,107,22,28,18,32,92,40,70,16,41,7,64,9,12,0,70,38,34,50
102,60,83,45,33,48,47,62,28,111,39,98,84,39,90,107,0,15,24,39
47,50,81,50,19,35,18,20,60,106,3,47,71,75,61,71,26,0,37,19
69,88,64,41,45,96,68,42,7,90,51,41,82,42,24,30,36,33,0,81
55,21,89,63,33,22,19,15,55,65,18,70,30,69,60,90,45,23,83,0
